anime_id,title,title_english,image_url,type,source,rating,score,premiered,studio,genre
12447,Ben-To Picture Drama,,https://myanimelist.cdn-dena.com/images/anime/13/34953.jpg,Special,Light novel,PG-13 - Teens 13 or older,6.15,0,David Production,Comedy
3294,Gasshin Sentai Mechander Robo,Combining Squadron Mechander Robo,https://myanimelist.cdn-dena.com/images/anime/9/29474.jpg,TV,Unknown,PG-13 - Teens 13 or older,6.17,Spring 1977,0,"Space, Mecha, Military, Mystery, Sci-Fi"
1381,Seikai no Monshou Special,,https://myanimelist.cdn-dena.com/images/anime/9/2753.jpg,Special,Light novel,PG-13 - Teens 13 or older,7.35,0,Sunrise,"Action, Military, Romance, Sci-Fi, Space"
8022,Tegamibachi Gakuen,Letter Bee Academy,https://myanimelist.cdn-dena.com/images/anime/4/19573.jpg,Special,Original,PG-13 - Teens 13 or older,7.42,0,Studio Pierrot,Comedy
32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,,https://myanimelist.cdn-dena.com/images/anime/3/78398.jpg,ONA,Original,G - All Ages,4.32,0,DLE,Comedy
33775,Soul Buster,Soul Buster,https://myanimelist.cdn-dena.com/images/anime/3/82256.jpg,TV,Manga,PG-13 - Teens 13 or older,5.91,Fall 2016,Studio Pierrot,"Action, Samurai"
20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,,https://myanimelist.cdn-dena.com/images/anime/2/54731.jpg,Special,Unknown,PG-13 - Teens 13 or older,5.86,0,Sunrise,"Mecha, Military"
37447,Karakuri Circus,Le Cirque de Karakuri,https://myanimelist.cdn-dena.com/images/anime/1292/91218.jpg,TV,Manga,None,0,0,Studio VOLN,"Adventure, Mystery, Shounen"
35277,Nanumu no Ie,,https://myanimelist.cdn-dena.com/images/anime/4/84973.jpg,Movie,Other,PG - Children,4.86,0,0,"Drama, Historical"
14353,Death Billiards,Death Billiards,https://myanimelist.cdn-dena.com/images/anime/11/48721.jpg,Movie,Original,R - 17+ (violence & profanity),8.01,0,Madhouse,"Game, Mystery, Psychological, Drama, Thriller"
32747,Fake Style II,,https://myanimelist.cdn-dena.com/images/anime/6/78575.jpg,Music,Music,PG - Children,5.85,0,0,Music
5235,Live On Cardliver Kakeru,,https://myanimelist.cdn-dena.com/images/anime/9/21028.jpg,TV,Manga,PG - Children,6.86,Fall 2008,TMS Entertainment,"Game, Fantasy"
8154,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,Spooky Kitarou: The Strongest Ghost Army! Landing in Japan!!,https://myanimelist.cdn-dena.com/images/anime/5/27356.jpg,Movie,Unknown,G - All Ages,6.17,0,Toei Animation,"Adventure, Comedy, Fantasy, Horror, Supernatural"
5117,Kokudo Oh,Legend of the Black Eye,https://myanimelist.cdn-dena.com/images/anime/4/23816.jpg,OVA,Visual novel,Rx - Hentai,6.08,0,0,"Fantasy, Hentai"
26443,Triage X,Triage X,https://myanimelist.cdn-dena.com/images/anime/8/73682.jpg,TV,Manga,R+ - Mild Nudity,6.41,Spring 2015,Xebec,"Action, Adventure, Ecchi, Shounen"
